* Generated by rew_pipeline.py (source UUID d6e13d27-c0b9-4485-a753-30852daa243e, calibrated to its own SPL at 100 Hz)
* Measurement: R.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:01
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw8 B = FRX-trimmed.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
139.526367 72.265 -171.6474
139.709473 72.362 122.6570
139.892578 72.505 56.8970
140.075684 72.669 -9.2994
140.258789 72.794 -75.9680
140.441895 72.851 -142.7796
140.625000 72.875 150.6111
140.808105 72.932 84.2004
140.991211 73.057 17.6350
141.174316 73.220 -49.3860
141.357422 73.365 -116.7689
141.540527 73.472 175.8707
141.723633 73.574 108.8143
141.906738 73.710 41.9635
142.089844 73.872 -25.0269
142.272949 74.000 -92.3395
142.456055 74.035 -159.7786
142.639160 73.976 133.0424
142.822266 73.876 66.3255
143.005371 73.798 -0.1376
143.188477 73.755 -66.7809
143.371582 73.701 -133.8212
143.554688 73.590 158.9472
143.737793 73.421 91.9358
143.920898 73.241 25.3848
144.104004 73.091 -40.8136
144.287109 72.966 -106.9136
144.470215 72.828 -172.9708
144.653320 72.657 121.2190
144.836426 72.484 55.8273
145.019531 72.359 -9.3090
145.202637 72.289 -74.6066
145.385742 72.228 -140.3091
145.568848 72.122 153.7722
145.751953 71.975 88.0626
145.935059 71.845 22.7997
146.118164 71.790 -42.2092
146.301270 71.814 -107.3845
146.484375 71.866 -172.9484
146.667480 71.897 121.2208
146.850586 71.899 55.3709
147.033691 71.889 -10.3787
147.216797 71.883 -76.0700
147.399902 71.877 -141.7535
147.583008 71.864 152.6161
147.766113 71.849 87.1118
147.949219 71.845 21.7152
148.132324 71.855 -43.6655
148.315430 71.868 -109.0704
148.498535 71.887 -174.4574
148.681641 71.934 120.1569
148.864746 72.025 54.5792
149.047852 72.146 -11.4279
149.230957 72.248 -77.8621
149.414062 72.301 -144.3951
149.597168 72.325 149.3749
149.780273 72.379 83.5373
149.963379 72.493 17.7441
150.146484 72.627 -48.4308
150.329590 72.696 -115.0105
150.512695 72.652 178.4373
150.695801 72.536 112.4003
150.878906 72.447 46.9173
151.062012 72.453 -18.5540
151.245117 72.526 -84.6217
151.428223 72.579 -151.3382
151.611328 72.559 141.8071
151.794434 72.497 75.3869
151.977539 72.463 9.5416
152.160645 72.495 -56.0690
152.343750 72.554 -121.8029
152.526855 72.582 172.3801
152.709961 72.569 106.7909
152.893066 72.573 41.5395
153.076172 72.645 -23.7173
153.259277 72.768 -89.4553
153.442383 72.872 -155.7418
153.625488 72.911 137.8622
153.808594 72.915 71.8883
153.991699 72.961 6.4539
154.174805 73.098 -58.8642
154.357910 73.289 -124.5909
154.541016 73.453 169.1492
154.724121 73.541 102.6414
154.907227 73.570 36.2283
155.090332 73.591 -29.9866
155.273438 73.644 -96.1323
155.456543 73.738 -162.3339
155.639648 73.865 131.4389
155.822754 74.028 65.2686
156.005859 74.227 -0.8819
156.188965 74.440 -67.1485
156.372070 74.622 -133.5751
156.555176 74.742 159.9768
156.738281 74.810 93.6739
156.921387 74.873 27.4658
157.104492 74.965 -38.9659
157.287598 75.076 -105.9384
157.470703 75.174 -173.4495
157.653809 75.245 118.8361
157.836914 75.319 51.2925
158.020020 75.442 -15.9874
158.203125 75.627 -83.2288
158.386230 75.828 -150.6780
158.569336 75.979 141.6821
158.752441 76.046 74.0941
158.935547 76.047 6.7520
159.118652 76.028 -60.4273
159.301758 76.015 -127.7552
159.484863 75.992 164.5396
159.667969 75.930 96.5461
159.851074 75.829 28.5803
160.034180 75.727 -39.1144
160.217285 75.660 -106.5812
160.400391 75.621 -174.0608
160.583496 75.563 118.3218
160.766602 75.440 50.7347
160.949707 75.254 -16.5176
161.132812 75.060 -83.3183
161.315918 74.916 -149.9173
161.499023 74.834 143.2525
161.682129 74.774 75.9680
161.865234 74.690 8.3857
162.048340 74.571 -59.1521
162.231445 74.437 -126.4193
162.414551 74.308 166.5653
162.597656 74.179 99.6601
162.780762 74.029 32.7961
162.963867 73.848 -33.9913
163.146973 73.651 -100.6932
163.330078 73.457 -167.4229
163.513184 73.269 125.6664
163.696289 73.071 58.5505
163.879395 72.849 -8.6198
164.062500 72.612 -75.6579
