* Generated by rew_pipeline.py (source UUID 7acd2911-a65a-4614-adf2-ea034c40169e, calibrated to its own SPL at 100 Hz)
* Measurement: LR.clean-fdw8
* Dated: 2026-Sep-12 16:10:03
* Note: ; Vector average of L.nofdw.clean-fdw8, R.nofdw.clean-fdw8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
158.203125 76.724 -159.9308
158.569336 77.038 65.8199
158.935547 77.195 -68.7994
159.301758 77.255 156.6574
159.667969 77.224 21.6581
160.034180 77.098 -113.4401
160.400391 76.926 111.4912
160.766602 76.633 -23.1413
161.132812 76.313 -156.5274
161.499023 76.096 70.0741
161.865234 75.807 -63.9922
162.231445 75.464 162.5159
162.597656 75.197 29.4883
162.963867 74.928 -103.2136
163.330078 74.672 124.5973
163.696289 74.393 -7.6848
164.062500 74.069 -139.4541
164.428711 73.884 89.1072
164.794922 73.747 -42.8557
165.161133 73.624 -174.3268
165.527344 73.688 53.9255
165.893555 73.747 -79.2231
166.259766 73.694 147.5286
166.625977 73.641 14.5366
166.992188 73.552 -118.4177
167.358398 73.428 108.6018
167.724609 73.203 -24.7557
168.090820 72.896 -157.3206
168.457031 72.811 70.7138
168.823242 72.819 -62.5069
169.189453 72.625 164.3480
169.555664 72.422 32.3149
169.921875 72.312 -100.2066
170.288086 72.192 126.3273
170.654297 72.066 -7.6164
171.020508 71.930 -141.3460
171.386719 71.831 85.4401
171.752930 71.669 -48.0770
172.119141 71.304 178.5864
172.485352 70.948 45.6366
172.851562 70.665 -88.1542
173.217773 70.377 138.2197
173.583984 70.217 5.2119
173.950195 69.944 -128.1852
174.316406 69.368 99.8168
174.682617 68.938 -31.0234
175.048828 68.654 -164.0258
175.415039 68.229 62.4242
175.781250 67.928 -69.2145
176.147461 67.817 159.8668
176.513672 67.653 28.9774
176.879883 67.415 -102.6388
177.246094 67.084 124.4771
177.612305 66.895 -8.3805
177.978516 67.097 -141.7952
178.344727 67.263 83.7124
178.710938 67.121 -49.5885
179.077148 67.002 177.6080
179.443359 66.845 42.1525
179.809570 66.436 -93.9668
180.175781 66.199 132.0277
180.541992 66.220 -2.1356
180.908203 65.997 -136.7749
181.274414 65.775 88.9720
181.640625 65.865 -48.3072
182.006836 65.933 171.7662
182.373047 65.991 33.4099
182.739258 66.169 -103.4853
183.105469 66.242 119.3972
183.471680 66.341 -18.5483
183.837891 66.699 -159.2636
184.204102 67.105 58.2350
184.570312 67.511 -82.5032
184.936523 68.098 138.3602
185.302734 68.724 -1.9782
185.668945 69.140 -143.8544
186.035156 69.406 74.5333
186.401367 69.768 -65.6828
186.767578 70.250 154.8617
187.133789 70.622 16.1211
187.500000 70.924 -121.0454
187.866211 71.370 102.2407
188.232422 71.851 -35.1939
188.598633 72.304 -172.2851
188.964844 72.851 51.0789
189.331055 73.403 -85.8272
189.697266 73.886 137.3282
190.063477 74.359 0.3683
190.429688 74.773 -136.8309
190.795898 75.139 86.4413
191.162109 75.512 -50.0429
191.528320 75.797 173.2648
191.894531 75.968 36.6380
192.260742 76.099 -100.0104
192.626953 76.208 123.4239
192.993164 76.331 -12.7779
193.359375 76.414 -148.9045
193.725586 76.353 75.5130
194.091797 76.304 -59.2822
194.458008 76.340 165.2017
194.824219 76.247 28.9300
195.190430 76.018 -106.3945
195.556641 75.792 119.2079
195.922852 75.481 -14.8963
196.289062 75.071 -147.9577
196.655273 74.764 79.9003
197.021484 74.536 -52.2407
197.387695 74.261 176.4391
197.753906 74.085 46.7239
198.120117 74.131 -82.6898
198.486328 74.286 147.3924
198.852539 74.580 17.4242
199.218750 75.113 -113.1604
199.584961 75.766 114.9233
199.951172 76.376 -17.9764
200.317383 76.891 -151.2614
200.683594 77.367 75.3884
201.049805 77.875 -58.5239
201.416016 78.330 166.4969
201.782227 78.650 31.1003
202.148438 78.912 -104.2784
202.514648 79.129 120.0026
202.880859 79.243 -15.7918
203.247070 79.303 -151.2015
203.613281 79.349 73.5791
203.979492 79.349 -61.4741
204.345703 79.315 163.7524
204.711914 79.247 29.1572
205.078125 79.145 -105.1586
205.444336 79.053 120.6743
205.810547 78.954 -13.6727
206.176758 78.814 -148.0103
206.542969 78.657 77.8381
206.909180 78.481 -56.1191
207.275391 78.298 170.2720
207.641602 78.138 36.7652
208.007812 77.952 -96.8171
208.374023 77.741 129.9550
208.740234 77.582 -2.9632
209.106445 77.457 -135.9515
209.472656 77.330 91.1832
209.838867 77.228 -41.5756
210.205078 77.109 -174.4323
210.571289 76.945 52.9942
210.937500 76.810 -79.2766
211.303711 76.705 148.3235
211.669922 76.618 16.0710
212.036133 76.635 -116.0847
212.402344 76.697 111.1209
212.768555 76.652 -21.9136
213.134766 76.558 -154.5366
213.500977 76.498 72.6837
213.867188 76.423 -60.4203
214.233398 76.358 166.7047
214.599609 76.334 33.9070
214.965820 76.269 -98.9244
215.332031 76.157 128.3754
215.698242 76.019 -4.5517
216.064453 75.817 -137.3832
216.430664 75.667 90.7340
216.796875 75.693 -40.9519
217.163086 75.730 -173.4402
217.529297 75.645 53.8208
217.895508 75.538 -78.7565
218.261719 75.487 148.5732
218.627930 75.476 15.9280
218.994141 75.470 -116.4879
219.360352 75.428 111.2657
219.726562 75.339 -21.0829
220.092773 75.205 -153.6418
220.458984 75.106 74.0688
220.825195 75.157 -58.1533
221.191406 75.230 169.1131
221.557617 75.177 36.6659
221.923828 75.117 -95.2690
222.290039 75.084 132.3147
222.656250 75.020 -0.3499
223.022461 74.989 -132.7827
223.388672 74.974 95.1208
223.754883 75.010 -36.2814
224.121094 75.162 -168.0537
224.487305 75.249 59.2372
224.853516 75.283 -73.3140
225.219727 75.416 153.8970
225.585938 75.547 20.4053
225.952148 75.662 -112.9995
226.318359 75.826 113.4062
226.684570 75.946 -20.5667
227.050781 76.007 -154.5679
227.416992 76.001 71.2213
227.783203 75.930 -62.8367
228.149414 75.914 163.0521
228.515625 75.863 28.3360
228.881836 75.721 -105.8355
229.248047 75.670 120.3271
229.614258 75.570 -14.4758
229.980469 75.294 -148.9091
230.346680 75.098 77.2947
230.712891 74.895 -57.3789
231.079102 74.478 168.3507
231.445312 74.107 35.2915
231.811523 73.862 -98.4217
232.177734 73.532 127.2178
232.543945 73.133 -6.5397
232.910156 72.751 -139.6016
233.276367 72.389 87.4299
233.642578 71.973 -46.0165
234.008789 71.478 -179.4229
234.375000 71.044 47.5175
234.741211 70.630 -85.6137
235.107422 70.105 141.8668
235.473633 69.504 10.1423
235.839844 68.814 -121.1861
236.206055 68.114 108.1565
236.572266 67.487 -22.0550
236.938477 66.942 -151.2461
237.304688 66.619 79.8574
237.670898 66.280 -50.0222
238.037109 65.945 -179.2467
238.403320 65.853 50.6877
238.769531 65.547 -79.7463
239.135742 65.289 153.0711
239.501953 65.354 25.0775
239.868164 65.103 -103.8400
240.234375 65.081 128.5353
240.600586 65.340 -2.3125
240.966797 65.354 -132.5733
241.333008 65.866 99.2551
241.699219 66.463 -32.2753
242.065430 66.581 -163.5220
242.431641 66.927 65.9173
242.797852 67.320 -67.5115
243.164062 67.523 159.1694
243.530273 67.834 26.0168
243.896484 67.953 -107.9454
244.262695 67.978 119.0558
244.628906 68.153 -15.3131
244.995117 68.063 -150.9505
245.361328 67.881 75.3311
245.727539 67.844 -58.4894
246.093750 67.518 167.2800
246.459961 67.137 34.9544
246.826172 67.015 -98.1351
247.192383 66.723 127.4516
247.558594 66.249 -5.6101
247.924805 65.810 -137.7591
248.291016 65.344 89.8041
248.657227 64.748 -43.1260
249.023438 63.970 -175.0985
249.389648 63.338 54.8646
249.755859 62.852 -75.4123
250.122070 62.296 155.0712
250.488281 62.010 25.2819
250.854492 61.475 -106.8615
251.220703 60.583 124.7517
251.586914 60.323 -1.6904
251.953125 59.785 -130.9711
252.319336 58.856 104.8078
252.685547 58.783 -18.3982
253.051758 58.570 -143.7922
253.417969 58.764 95.6673
253.784180 59.883 -27.3407
254.150391 60.956 -152.5698
254.516602 62.302 80.8239
254.882812 63.554 -49.6559
255.249023 64.569 179.1944
255.615234 65.712 47.3431
255.981445 66.794 -86.4671
256.347656 67.665 138.6711
256.713867 68.338 3.0663
257.080078 68.868 -132.5622
257.446289 69.454 91.8543
257.812500 70.023 -44.5209
258.178711 70.402 179.3339
258.544922 70.743 43.8850
258.911133 71.068 -92.5026
259.277344 71.194 130.2801
259.643555 71.242 -6.3733
260.009766 71.400 -143.0389
260.375977 71.492 79.4760
260.742188 71.345 -57.7636
261.108398 71.082 165.8320
261.474609 70.775 29.2609
261.840820 70.348 -107.5258
262.207031 69.913 116.2255
262.573242 69.561 -20.2753
262.939453 69.067 -157.3077
263.305664 68.354 66.5222
263.671875 67.624 -68.7872
264.038086 66.953 155.4538
264.404297 66.323 18.6658
264.770508 65.645 -119.3162
265.136719 64.747 102.5128
265.502930 63.689 -34.9978
265.869141 62.510 -173.3401
266.235352 61.043 46.8719
266.601562 59.455 -93.6642
266.967773 57.976 123.1979
267.333984 56.469 -24.8471
267.700195 55.292 -178.6001
268.066406 55.494 24.0480
268.432617 57.148 -129.7755
268.798828 59.210 82.1125
269.165039 60.953 -63.0330
269.531250 62.200 153.9470
269.897461 63.224 13.6804
270.263672 64.321 -124.4574
270.629883 65.482 98.1803
270.996094 66.541 -39.1737
271.362305 67.389 -176.3053
271.728516 68.120 47.1798
272.094727 68.821 -89.2190
272.460938 69.451 134.4776
272.827148 70.067 -1.5317
273.193359 70.654 -137.9572
273.559570 71.115 85.4654
273.925781 71.533 -51.0315
274.291992 71.844 171.8311
274.658203 71.916 35.2406
275.024414 71.993 -100.0813
275.390625 72.088 124.0157
275.756836 71.940 -11.6160
