* Generated by rew_pipeline.py (source UUID a5e9af94-77a9-4614-b030-74790d74babe, calibrated to its own SPL at 100 Hz)
* Measurement: L.nofdw.clean-fdw8
* Dated: 2026-Sep-12 16:09:58
* Note: ; Copy of L.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from R and L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
188.232422 69.107 -44.1878
188.598633 69.481 176.8187
188.964844 69.866 36.4824
189.331055 70.266 -102.3646
189.697266 70.760 119.2028
190.063477 71.342 -15.8806
190.429688 71.285 -153.3597
190.795898 71.773 73.4628
191.162109 71.942 -62.2774
191.528320 72.345 164.4918
191.894531 72.898 29.9412
192.260742 73.056 -103.6099
192.626953 73.709 122.1884
192.993164 74.299 -11.7888
193.359375 74.631 -145.3023
193.725586 75.041 79.1840
194.091797 75.327 -55.4608
194.458008 75.845 169.2117
194.824219 76.052 32.6132
195.190430 75.999 -101.5953
195.556641 76.184 122.3088
195.922852 76.175 -12.0529
196.289062 76.053 -147.0791
196.655273 76.135 79.2234
197.021484 75.770 -55.5865
197.387695 75.692 172.6211
197.753906 75.266 40.7174
198.120117 74.993 -89.3958
198.486328 75.069 140.5327
198.852539 75.050 10.4689
199.218750 75.616 -118.7055
199.584961 76.201 111.1951
199.951172 76.708 -20.6818
200.317383 77.363 -152.8738
200.683594 77.870 74.3240
201.049805 78.526 -58.3583
201.416016 79.216 168.0560
201.782227 79.652 32.4237
202.148438 80.010 -102.7494
202.514648 80.560 121.7712
202.880859 80.744 -13.4486
203.247070 80.948 -149.8489
203.613281 81.187 74.6973
203.979492 81.304 -60.5769
204.345703 81.361 164.4437
204.711914 81.357 29.0952
205.078125 81.426 -106.2923
205.444336 81.511 119.5061
205.810547 81.404 -16.1819
206.176758 81.361 -151.2906
206.542969 81.280 73.6808
206.909180 81.196 -61.0968
207.275391 80.950 164.5800
207.641602 80.793 29.5266
208.007812 80.564 -105.2322
208.374023 80.291 120.3638
208.740234 80.054 -12.9268
209.106445 79.722 -146.3110
209.472656 79.533 79.6304
209.838867 79.356 -52.3352
210.205078 78.991 173.8229
210.571289 78.899 40.7404
210.937500 78.564 -90.8361
211.303711 78.228 137.1995
211.669922 78.013 5.3086
212.036133 77.871 -124.7757
212.402344 77.949 103.1989
212.768555 77.873 -27.9692
213.134766 78.059 -159.3685
213.500977 78.130 68.4445
213.867188 78.347 -63.8525
214.233398 78.515 163.1346
214.599609 78.609 29.9144
214.965820 78.925 -104.1688
215.332031 78.938 122.7932
215.698242 79.054 -11.9883
216.064453 79.062 -146.1646
216.430664 79.058 79.5373
216.796875 79.006 -54.1980
217.163086 78.931 171.2572
217.529297 78.697 35.8809
217.895508 78.527 -98.8847
218.261719 78.338 127.7184
218.627930 78.010 -6.5644
218.994141 77.606 -140.3479
219.360352 77.367 85.6763
219.726562 76.758 -47.0636
220.092773 76.275 179.2018
220.458984 75.891 46.9027
220.825195 75.416 -82.4914
221.191406 74.963 146.1152
221.557617 74.506 15.5623
221.923828 74.438 -113.8534
222.290039 74.257 117.7213
222.656250 74.238 -12.2948
223.022461 74.250 -141.8453
223.388672 74.386 86.3060
223.754883 74.710 -43.1412
224.121094 75.139 -173.5090
224.487305 75.441 53.6023
224.853516 75.628 -78.2384
225.219727 75.968 147.3304
225.585938 76.188 14.6580
225.952148 76.201 -119.8342
226.318359 76.512 105.5157
226.684570 76.685 -26.8672
227.050781 76.599 -160.9940
227.416992 76.460 64.1799
