* Generated by rew_pipeline.py (source UUID f0175bf7-856b-4f82-b8d3-e215cf908451, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:02
* Note: ; Vector average of L.filtered.clean-fdw8, R.filtered.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
86.791992 75.546 109.3537
86.975098 75.642 42.0623
87.158203 75.664 -25.2955
87.341309 75.636 -92.4534
87.524414 75.589 -159.3694
87.707520 75.558 133.8214
87.890625 75.531 66.8551
88.073730 75.484 -0.2331
88.256836 75.409 -67.3333
88.439941 75.337 -134.3078
88.623047 75.300 158.5478
88.806152 75.270 90.8900
88.989258 75.176 22.5108
89.172363 74.933 -46.2271
89.355469 74.531 -114.7093
89.538574 74.026 177.6326
89.721680 73.536 110.8217
89.904785 73.100 44.3189
90.087891 72.666 -22.2669
90.270996 72.115 -88.5905
90.454102 71.446 -153.4066
90.637207 70.837 144.2512
90.820312 70.602 83.8277
91.003418 70.809 22.7655
91.186523 71.181 -40.4898
91.369629 71.415 -105.5487
91.552734 71.418 -170.9043
91.735840 71.287 124.3857
91.918945 71.175 60.4355
92.102051 71.164 -3.5955
92.285156 71.185 -68.2530
92.468262 71.161 -133.4435
92.651367 71.063 161.4764
92.834473 70.974 96.9166
93.017578 70.967 32.7889
93.200684 71.090 -31.3623
93.383789 71.295 -95.9570
93.566895 71.542 -161.0417
93.750000 71.783 133.4504
93.933105 72.016 67.7342
94.116211 72.238 1.8311
94.299316 72.464 -64.1778
94.482422 72.695 -130.4661
94.665527 72.911 162.9225
94.848633 73.078 95.9001
95.031738 73.156 28.7272
95.214844 73.145 -38.3207
95.397949 73.075 -104.9364
95.581055 73.007 -171.1667
95.764160 72.959 122.7823
95.947266 72.936 56.7446
96.130371 72.921 -9.2256
96.313477 72.958 -75.0199
96.496582 73.083 -140.9022
96.679688 73.300 152.6287
96.862793 73.514 85.1291
97.045898 73.612 16.8590
97.229004 73.527 -51.5388
97.412109 73.287 -119.2036
97.595215 73.005 174.1573
97.778320 72.780 108.2380
97.961426 72.621 42.2466
98.144531 72.425 -24.0418
98.327637 72.127 -90.1619
98.510742 71.759 -155.3247
98.693848 71.477 140.6321
98.876953 71.376 76.8866
99.060059 71.415 12.4194
99.243164 71.431 -52.9900
99.426270 71.349 -118.6308
99.609375 71.202 176.1684
99.792480 71.106 111.5720
99.975586 71.107 46.9371
100.158691 71.150 -18.1391
100.341797 71.144 -83.5662
100.524902 71.066 -148.6265
100.708008 70.992 147.0201
100.891113 71.007 83.2341
101.074219 71.131 19.3227
101.257324 71.291 -44.9970
101.440430 71.438 -109.5994
101.623535 71.567 -174.1041
101.806641 71.742 121.5410
101.989746 71.989 57.0985
102.172852 72.311 -7.7029
102.355957 72.668 -72.9422
102.539062 73.058 -138.5197
102.722168 73.469 155.5316
102.905273 73.898 89.1629
103.088379 74.305 22.2659
103.271484 74.659 -45.0077
103.454590 74.941 -112.5220
103.637695 75.159 179.9227
103.820801 75.333 112.2854
104.003906 75.463 44.5465
104.187012 75.545 -23.3462
104.370117 75.565 -91.2625
104.553223 75.539 -159.0695
104.736328 75.484 133.3208
104.919434 75.428 65.8603
105.102539 75.368 -1.5878
105.285645 75.293 -69.0576
105.468750 75.179 -136.5154
105.651855 75.027 156.2261
105.834961 74.847 89.2276
106.018066 74.659 22.5539
106.201172 74.470 -43.9000
106.384277 74.277 -110.1127
106.567383 74.082 -176.1158
106.750488 73.881 118.1690
106.933594 73.691 52.7014
107.116699 73.508 -12.5202
107.299805 73.345 -77.5393
107.482910 73.204 -142.3593
107.666016 73.106 152.9717
107.849121 73.055 88.3255
108.032227 73.054 23.6024
108.215332 73.083 -41.2752
108.398438 73.137 -106.2147
108.581543 73.214 -171.2117
108.764648 73.321 123.7691
108.947754 73.451 58.5908
109.130859 73.587 -6.7147
109.313965 73.717 -72.1389
109.497070 73.845 -137.5240
109.680176 73.992 157.0847
109.863281 74.170 91.6160
110.046387 74.378 25.8881
110.229492 74.592 -40.1059
110.412598 74.805 -106.3068
110.595703 75.014 -172.6245
110.778809 75.233 120.9183
110.961914 75.447 54.2038
111.145020 75.637 -12.8029
111.328125 75.767 -80.0313
111.511230 75.831 -147.2219
111.694336 75.845 145.7959
111.877441 75.849 79.1224
112.060547 75.874 12.5826
112.243652 75.921 -53.9758
112.426758 75.976 -120.6940
112.609863 76.016 172.5241
112.792969 76.041 105.7838
112.976074 76.059 39.2004
113.159180 76.095 -27.2603
113.342285 76.151 -93.6869
113.525391 76.232 -160.1746
113.708496 76.324 133.2134
113.891602 76.425 66.4801
114.074707 76.525 -0.4029
114.257812 76.622 -67.3998
114.440918 76.707 -134.5315
114.624023 76.775 158.2630
114.807129 76.822 90.9566
114.990234 76.844 23.5851
115.173340 76.836 -43.8905
115.356445 76.789 -111.4171
115.539551 76.707 -178.9765
115.722656 76.591 113.4906
115.905762 76.452 45.9833
116.088867 76.286 -21.5007
116.271973 76.091 -88.9194
116.455078 75.853 -156.1721
116.638184 75.585 136.9335
116.821289 75.305 70.4821
117.004395 75.046 4.4770
117.187500 74.826 -61.3103
117.370605 74.636 -127.0275
117.553711 74.458 167.2169
117.736816 74.278 101.5566
117.919922 74.114 36.0416
118.103027 73.982 -29.3139
118.286133 73.897 -94.6897
118.469238 73.833 -160.1667
118.652344 73.773 134.2817
118.835449 73.701 68.8244
119.018555 73.642 3.5588
119.201660 73.615 -61.6224
119.384766 73.631 -126.9415
119.567871 73.656 167.3842
119.750977 73.662 101.4115
119.934082 73.626 35.2947
120.117188 73.565 -30.6984
120.300293 73.509 -96.5376
120.483398 73.482 -162.2567
120.666504 73.485 131.9295
120.849609 73.494 65.9859
121.032715 73.489 -0.0885
121.215820 73.455 -66.1302
121.398926 73.409 -132.0751
121.582031 73.360 162.0988
121.765137 73.329 96.2931
121.948242 73.303 30.4199
122.131348 73.280 -35.5244
122.314453 73.243 -101.4763
122.497559 73.199 -167.2897
122.680664 73.158 127.0597
122.863770 73.137 61.5760
123.046875 73.136 -3.9070
123.229980 73.149 -69.4448
123.413086 73.165 -135.1464
123.596191 73.176 159.0340
123.779297 73.183 93.0372
123.962402 73.182 26.9070
124.145508 73.169 -39.3571
124.328613 73.135 -105.5987
124.511719 73.092 -171.6769
124.694824 73.054 122.5232
124.877930 73.051 56.9482
125.061035 73.078 -8.5788
125.244141 73.126 -74.1872
125.427246 73.164 -139.9215
125.610352 73.194 154.3261
125.793457 73.227 88.5326
125.976562 73.285 22.6270
126.159668 73.362 -43.6207
126.342773 73.429 -110.2117
126.525879 73.457 -177.0363
126.708984 73.441 116.2434
126.892090 73.410 49.7937
