* Generated by rew_pipeline.py (source UUID dfb65ea2-0ad3-4047-a78a-47ab03241470, calibrated to its own SPL at 100 Hz)
* Measurement: L.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:00
* Note: ; Trace Arithmetic A times B A = L.nofdw.clean-fdw8 B = FLX-trimmed.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
120.300293 72.072 -82.3292
120.483398 71.905 -147.6290
120.666504 71.791 147.4018
120.849609 71.717 82.5306
121.032715 71.657 17.7407
121.215820 71.607 -46.8270
121.398926 71.595 -111.0921
121.582031 71.658 -175.1868
121.765137 71.812 120.6065
121.948242 72.039 56.0598
122.131348 72.312 -8.8741
122.314453 72.612 -74.1132
122.497559 72.936 -139.5811
122.680664 73.281 154.7160
122.863770 73.637 88.7103
123.046875 73.985 22.3387
123.229980 74.304 -44.4192
123.413086 74.580 -111.5519
123.596191 74.806 -179.0394
123.779297 74.977 113.1498
123.962402 75.091 45.0887
124.145508 75.147 -23.0828
124.328613 75.155 -91.1742
124.511719 75.133 -159.0105
124.694824 75.103 133.4864
124.877930 75.081 66.2632
125.061035 75.061 -0.8071
125.244141 75.023 -67.8123
125.427246 74.946 -134.7372
125.610352 74.832 158.4902
125.793457 74.702 91.8780
125.976562 74.585 25.2919
126.159668 74.489 -41.4836
126.342773 74.397 -108.5700
126.525879 74.281 -175.8710
126.708984 74.131 116.8784
126.892090 73.965 49.9249
127.075195 73.811 -16.6823
127.258301 73.679 -83.1049
127.441406 73.547 -149.5307
127.624512 73.376 144.0315
127.807617 73.150 77.7681
127.990723 72.895 11.8698
128.173828 72.665 -53.6951
128.356934 72.494 -119.2113
128.540039 72.368 175.0374
128.723145 72.243 109.0594
128.906250 72.095 43.1644
129.089355 71.948 -22.3204
129.272461 71.850 -87.3780
129.455566 71.824 -152.3632
129.638672 71.832 142.3134
129.821777 71.803 76.5538
130.004883 71.687 10.6178
130.187988 71.496 -55.1375
130.371094 71.284 -120.5661
130.554199 71.104 174.1571
130.737305 70.965 108.7388
130.920410 70.836 43.0989
131.103516 70.689 -22.5249
131.286621 70.538 -87.7870
131.469727 70.427 -152.5446
131.652832 70.393 143.0193
131.835938 70.427 78.5974
132.019043 70.488 14.0558
132.202148 70.553 -50.5215
132.385254 70.635 -115.0644
132.568359 70.758 -179.7306
132.751465 70.916 115.1682
132.934570 71.065 49.4674
133.117676 71.156 -16.6643
133.300781 71.179 -82.8459
133.483887 71.174 -148.7881
133.666992 71.192 145.4693
133.850098 71.246 79.6216
134.033203 71.295 13.4476
134.216309 71.280 -52.9183
134.399414 71.182 -119.0587
134.582520 71.046 175.3852
134.765625 70.944 110.3824
134.948730 70.915 45.5121
135.131836 70.927 -19.6160
135.314941 70.923 -84.9728
135.498047 70.891 -150.1950
135.681152 70.883 144.9670
135.864258 70.962 80.2926
136.047363 71.128 15.2520
136.230469 71.303 -50.4310
136.413574 71.404 -116.4746
136.596680 71.417 177.7152
136.779785 71.410 112.5386
136.962891 71.469 47.8301
137.145996 71.622 -17.0068
137.329102 71.814 -82.4149
137.512207 71.971 -148.3137
137.695312 72.074 145.7076
137.878418 72.166 79.9526
138.061523 72.304 14.3575
138.244629 72.502 -51.3782
138.427734 72.727 -117.4358
138.610840 72.941 176.2820
138.793945 73.135 109.9800
138.977051 73.326 43.7216
139.160156 73.520 -22.6213
139.343262 73.699 -89.1865
139.526367 73.836 -155.9402
139.709473 73.926 137.2895
139.892578 73.998 70.6105
140.075684 74.085 3.9197
140.258789 74.188 -63.0060
140.441895 74.275 -130.2557
140.625000 74.310 162.3544
140.808105 74.289 95.1592
140.991211 74.248 28.3769
141.174316 74.231 -38.0736
141.357422 74.248 -104.4829
141.540527 74.270 -171.0602
141.723633 74.264 122.2457
141.906738 74.228 55.6380
142.089844 74.196 -10.7789
142.272949 74.199 -77.1272
142.456055 74.238 -143.6235
142.639160 74.284 149.6634
142.822266 74.312 82.8771
143.005371 74.331 16.1950
143.188477 74.363 -50.3884
143.371582 74.417 -117.0812
143.554688 74.466 175.9176
143.737793 74.469 108.6278
143.920898 74.412 41.2695
144.104004 74.317 -25.9450
144.287109 74.226 -93.0116
144.470215 74.158 -160.1312
144.653320 74.095 132.5087
144.836426 73.999 64.9369
145.019531 73.848 -2.6260
145.202637 73.653 -69.9724
145.385742 73.439 -137.0921
145.568848 73.217 155.8368
145.751953 72.965 88.6499
145.935059 72.652 21.3795
146.118164 72.265 -45.7583
146.301270 71.819 -112.5337
146.484375 71.344 -178.8495
146.667480 70.858 115.2840
146.850586 70.355 49.9136
147.033691 69.841 -14.7729
147.216797 69.348 -78.6037
147.399902 68.929 -141.6837
147.583008 68.602 155.6113
147.766113 68.335 93.0255
147.949219 68.094 30.7243
148.132324 67.923 -30.9648
148.315430 67.923 -92.1651
148.498535 68.152 -153.6519
148.681641 68.540 143.8125
148.864746 68.968 80.1617
149.047852 69.368 15.8713
149.230957 69.753 -48.6320
149.414062 70.163 -113.3305
149.597168 70.601 -178.4921
149.780273 71.024 115.7167
149.963379 71.389 49.4255
150.146484 71.690 -17.0921
150.329590 71.958 -83.6858
150.512695 72.219 -150.4415
150.695801 72.469 142.4606
150.878906 72.671 74.9888
151.062012 72.789 7.3518
151.245117 72.821 -60.1244
151.428223 72.796 -127.2116
151.611328 72.757 166.0773
151.794434 72.727 99.5331
151.977539 72.700 32.9509
152.160645 72.656 -33.7087
152.343750 72.589 -100.3417
152.526855 72.513 -166.8450
152.709961 72.444 126.7807
152.893066 72.384 60.4762
153.076172 72.318 -5.7473
153.259277 72.235 -71.7572
153.442383 72.151 -137.4121
153.625488 72.101 157.2489
153.808594 72.108 91.9388
153.991699 72.153 26.3024
154.174805 72.185 -39.7946
154.357910 72.155 -106.1440
154.541016 72.058 -172.3244
154.724121 71.939 122.0289
154.907227 71.869 56.9672
155.090332 71.898 -7.8326
155.273438 72.016 -72.8260
155.456543 72.165 -138.2617
155.639648 72.284 155.9342
155.822754 72.348 90.0184
156.005859 72.369 24.2189
156.188965 72.380 -41.3978
156.372070 72.411 -106.9259
156.555176 72.473 -172.5154
156.738281 72.561 121.7396
156.921387 72.662 55.8447
157.104492 72.766 -10.1216
157.287598 72.870 -76.0600
157.470703 72.977 -141.8905
157.653809 73.099 152.4115
157.836914 73.247 86.7854
158.020020 73.431 21.0829
158.203125 73.645 -44.8778
158.386230 73.868 -111.2239
158.569336 74.076 -177.9654
158.752441 74.251 115.0003
158.935547 74.387 47.8249
159.118652 74.491 -19.3658
159.301758 74.575 -86.5187
159.484863 74.646 -153.6539
159.667969 74.703 139.1725
159.851074 74.736 71.9186
160.034180 74.734 4.5951
160.217285 74.686 -62.7208
160.400391 74.596 -129.9063
160.583496 74.479 163.1545
160.766602 74.361 96.5019
160.949707 74.263 30.0581
161.132812 74.191 -36.3351
161.315918 74.129 -102.8052
161.499023 74.050 -169.3533
161.682129 73.942 124.1366
161.865234 73.813 57.7950
162.048340 73.687 -8.3495
162.231445 73.585 -74.3938
162.414551 73.507 -140.4615
162.597656 73.443 153.4192
162.780762 73.383 87.3312
162.963867 73.333 21.3665
163.146973 73.303 -44.4746
163.330078 73.288 -110.2662
163.513184 73.273 -176.0405
163.696289 73.243 118.2802
