* Measurement data measured by REW V5.40 beta 133
* Source: EQ window target shape
* Format: 
* Dated: Sep 10, 2026, 1:39:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LR.RMS
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz)	SPL(dB)
3673.046457	68.530
3699.662866	68.519
3726.472148	68.509
3753.475701	68.498
3780.674934	68.488
3808.071263	68.477
3835.666117	68.467
3863.460935	68.457
3891.457165	68.446
3919.656268	68.436
3948.059713	68.425
3976.668981	68.415
4005.485564	68.404
4034.510963	68.394
4063.746693	68.384
4093.194277	68.373
4122.855250	68.363
4152.731158	68.353
4182.823560	68.342
4213.134024	68.332
4243.664130	68.321
4274.415470	68.311
4305.389646	68.301
4336.588274	68.290
4368.012981	68.280
4399.665403	68.269
4431.547192	68.259
4463.660010	68.248
4496.005531	68.238
4528.585440	68.228
4561.401437	68.217
4594.455232	68.207
4627.748549	68.197
4661.283122	68.186
4695.060701	68.176
4729.083046	68.165
4763.351932	68.155
4797.869143	68.144
4832.636481	68.134
4867.655757	68.124
4902.928797	68.113
4938.457440	68.103
4974.243539	68.092
5010.288958	68.082
5046.595577	68.071
5083.165289	68.061
5120.000000	68.050
5157.101631	68.040
5194.472115	68.029
5232.113401	68.019
5270.027452	68.009
5308.216243	67.998
5346.681766	67.988
5385.426026	67.977
5424.451043	67.967
5463.758851	67.956
5503.351500	67.946
5543.231054	67.936
5583.399591	67.925
5623.859206	67.915
5664.612008	67.905
5705.660122	67.894
5747.005687	67.884
5788.650860	67.873
5830.597810	67.863
5872.848725	67.852
5915.405808	67.842
5958.271277	67.832
6001.447367	67.821
6044.936328	67.811
6088.740429	67.800
6132.861952	67.790
6177.303198	67.779
6222.066483	67.769
6267.154142	67.759
6312.568524	67.749
6358.311998	67.738
6404.386948	67.728
6450.795775	67.717
6497.540901	67.707
6544.624761	67.696
6592.049809	67.686
6639.818520	67.676
6687.933382	67.665
6736.396904	67.655
6785.211613	67.644
6834.380053	67.634
6883.904789	67.623
6933.788400	67.613
6984.033489	67.603
7034.642675	67.592
7085.618596	67.582
7136.963909	67.572
7188.681291	67.561
7240.773439	67.551
7293.243069	67.540
7346.092914	67.529
7399.325732	67.519
7452.944296	67.508
7506.951403	67.498
7561.349867	67.488
7616.142525	67.477
7671.332234	67.467
7726.921869	67.457
7782.914330	67.446
7839.312536	67.436
7896.119426	67.425
7953.337962	67.415
8010.971128	67.404
8069.021927	67.394
8127.493386	67.384
8186.388553	67.373
8245.710500	67.363
8305.462317	67.352
8365.647121	67.342
8426.268048	67.331
8487.328260	67.321
8548.830939	67.311
8610.779292	67.300
8673.176549	67.290
8736.025961	67.280
8799.330806	67.269
8863.094385	67.259
8927.320020	67.248
8992.011061	67.238
9057.170880	67.228
9122.802874	67.217
9188.910464	67.207
9255.497097	67.196
9322.566244	67.186
9390.121402	67.175
9458.166093	67.165
9526.703863	67.155
9595.738287	67.144
9665.272962	67.134
9735.311514	67.124
9805.857594	67.113
9876.914881	67.103
9948.487077	67.092
10020.577916	67.082
10093.191154	67.071
10166.330578	67.061
10240.000000	67.051
10314.203261	67.040
10388.944230	67.030
10464.226802	67.019
10540.054903	67.009
10616.432486	66.998
10693.363532	66.988
10770.852052	66.977
10848.902086	66.967
10927.517703	66.956
11006.703001	66.946
11086.462108	66.936
11166.799182	66.925
11247.718413	66.915
11329.224017	66.905
11411.320244	66.894
11494.011375	66.883
11577.301719	66.873
11661.195620	66.863
11745.697450	66.852
11830.811616	66.842
11916.542554	66.832
12002.894734	66.821
12089.872657	66.811
12177.480858	66.800
12265.723904	66.790
12354.606395	66.779
12444.132966	66.769
12534.308283	66.759
12625.137048	66.748
12716.623996	66.738
12808.773895	66.727
12901.591551	66.717
12995.081802	66.706
13089.249521	66.696
13184.099619	66.686
13279.637040	66.676
13375.866764	66.665
13472.793808	66.655
13570.423226	66.644
13668.760107	66.634
13767.809577	66.623
13867.576801	66.613
13968.066979	66.603
14069.285350	66.592
14171.237191	66.582
14273.927818	66.571
14377.362583	66.561
14481.546879	66.550
14586.486137	66.540
14692.185828	66.530
14798.651463	66.519
14905.888592	66.509
15013.902806	66.499
15122.699734	66.488
15232.285051	66.478
15342.664467	66.467
15453.843739	66.457
15565.828661	66.446
15678.625072	66.436
15792.238852	66.425
15906.675925	66.415
16021.942256	66.404
16138.043854	66.394
16254.986772	66.384
16372.777107	66.373
16491.420999	66.363
16610.924634	66.352
16731.294241	66.342
16852.536096	66.331
16974.656520	66.321
17097.661878	66.311
17221.558584	66.300
17346.353097	66.290
17472.051922	66.280
17598.661613	66.269
17726.188769	66.258
17854.640040	66.248
17984.022122	66.238
18114.341760	66.227
18245.605748	66.217
18377.820928	66.207
18510.994194	66.196
18645.132489	66.186
18780.242805	66.175
18916.332186	66.165
19053.407727	66.154
19191.476573	66.144
19330.545924	66.134
19470.623028	66.123
19611.715189	66.113
19753.829761	66.103
19896.974155	66.093
20041.155832	66.086
20186.382308	66.085
20332.661156	66.084
20480.000000	66.084
20628.406522	66.084
20777.888460	66.084
20928.453604	66.084
21080.109806	66.084
21232.864972	66.084
21386.727064	66.084
21541.704105	66.084
21697.804172	66.084
21855.035406	66.084
22013.406002	66.084
22172.924216	66.084
22333.598365	66.084
22495.436825	66.084
22658.448034	66.084
22822.640488	66.084
22988.022749	66.084
23154.603438	66.084
23322.391240	66.084
23491.394901	66.084
23661.623232	66.084
23833.085108	66.084
24005.789467	66.084
