* Generated by rew_pipeline.py (source UUID 52b193c4-2b57-4908-a61b-75034b9edfea, calibrated to its own SPL at 100 Hz)
* Measurement: L.filtered.clean-fdw6
* Dated: 2026-Sep-12 16:19:00
* Note: ; Trace Arithmetic A times B A = L.nofdw.clean-fdw6 B = FLX-trimmed.clean-fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
98.510742 67.701 -132.1166
98.693848 67.963 165.0907
98.876953 68.360 101.7779
99.060059 68.805 37.3203
99.243164 69.184 -28.0705
99.426270 69.472 -93.7319
99.609375 69.731 -159.2477
99.792480 70.028 135.2302
99.975586 70.353 69.3069
100.158691 70.637 2.9351
100.341797 70.828 -63.4252
100.524902 70.958 -129.1994
100.708008 71.119 165.7402
100.891113 71.377 100.8732
101.074219 71.695 35.5250
101.257324 71.972 -30.4579
101.440430 72.146 -96.6305
101.623535 72.245 -162.4218
101.806641 72.368 132.3322
101.989746 72.594 67.2180
102.172852 72.920 1.6578
102.355957 73.281 -64.5351
102.539062 73.633 -131.0976
102.722168 73.983 162.3019
102.905273 74.367 95.7106
103.088379 74.793 28.8851
103.271484 75.222 -38.4154
103.454590 75.597 -106.1884
103.637695 75.884 -174.2279
103.820801 76.086 117.6693
104.003906 76.226 49.5469
104.187012 76.320 -18.6998
104.370117 76.367 -87.1751
104.553223 76.352 -155.8476
104.736328 76.274 135.4553
104.919434 76.152 66.9317
105.102539 76.014 -1.3257
105.285645 75.884 -69.3658
105.468750 75.759 -137.2930
105.651855 75.617 154.8539
105.834961 75.437 87.1407
106.018066 75.208 19.6779
106.201172 74.934 -47.4615
106.384277 74.620 -114.2696
106.567383 74.270 179.2332
106.750488 73.885 113.0533
106.933594 73.471 47.2414
107.116699 73.041 -18.1296
107.299805 72.617 -82.9958
107.482910 72.229 -147.3248
107.666016 71.908 148.8585
107.849121 71.685 85.4379
108.032227 71.577 22.2063
108.215332 71.580 -41.0594
108.398438 71.676 -104.5096
108.581543 71.846 -168.2199
108.764648 72.076 127.7348
108.947754 72.348 63.2483
109.130859 72.634 -1.7482
109.313965 72.901 -67.2008
109.497070 73.135 -132.9464
109.680176 73.343 161.1756
109.863281 73.542 95.2152
110.046387 73.745 29.1155
110.229492 73.945 -37.1806
110.412598 74.128 -103.6390
110.595703 74.289 -170.1607
110.778809 74.438 123.3095
110.961914 74.577 56.7246
111.145020 74.697 -9.9899
111.328125 74.772 -76.7966
111.511230 74.789 -143.4961
111.694336 74.769 150.1565
111.877441 74.762 84.2410
112.060547 74.814 18.5531
112.243652 74.932 -47.2639
112.426758 75.081 -113.4295
112.609863 75.224 -179.8842
112.792969 75.350 113.5791
112.976074 75.484 47.0706
113.159180 75.650 -19.5228
113.342285 75.844 -86.4294
113.525391 76.033 -153.7677
113.708496 76.181 138.5631
113.891602 76.277 70.7938
114.074707 76.338 3.1037
114.257812 76.390 -64.5035
114.440918 76.445 -132.1775
114.624023 76.487 159.9207
114.807129 76.485 91.7491
114.990234 76.413 23.4061
115.173340 76.259 -44.9399
115.356445 76.033 -113.1380
115.539551 75.751 178.8950
115.722656 75.430 111.1730
115.905762 75.080 43.6744
116.088867 74.700 -23.6090
116.271973 74.281 -90.6232
116.455078 73.817 -157.2211
116.638184 73.315 136.8189
116.821289 72.806 71.6978
117.004395 72.346 7.4447
117.187500 71.985 -56.1720
117.370605 71.740 -119.5272
117.553711 71.594 177.1108
117.736816 71.532 113.6793
117.919922 71.560 50.1510
118.103027 71.690 -13.6701
118.286133 71.900 -78.0899
118.469238 72.125 -143.2409
118.652344 72.301 151.0838
118.835449 72.404 85.2997
119.018555 72.464 19.7265
119.201660 72.534 -45.6596
119.384766 72.638 -111.2025
119.567871 72.745 -177.2440
119.750977 72.791 116.1953
119.934082 72.736 49.4453
120.117188 72.586 -17.0330
120.300293 72.395 -82.9262
120.483398 72.224 -148.2379
120.666504 72.106 146.7814
120.849609 72.029 81.8994
121.032715 71.965 17.0993
121.215820 71.911 -47.4782
121.398926 71.895 -111.7527
121.582031 71.955 -175.8563
121.765137 72.105 119.9287
121.948242 72.329 55.3740
122.131348 72.598 -9.5673
122.314453 72.894 -74.8135
122.497559 73.214 -140.2879
122.680664 73.555 154.0029
122.863770 73.908 87.9914
123.046875 74.252 21.6145
123.229980 74.567 -45.1482
123.413086 74.839 -112.2855
123.596191 75.061 -179.7769
123.779297 75.228 112.4087
123.962402 75.338 44.3446
124.145508 75.391 -23.8294
124.328613 75.395 -91.9230
124.511719 75.368 -159.7607
124.694824 75.335 132.7353
124.877930 75.308 65.5117
125.061035 75.284 -1.5582
125.244141 75.242 -68.5625
125.427246 75.161 -135.4858
125.610352 75.042 157.7438
125.793457 74.909 91.1348
125.976562 74.787 24.5526
126.159668 74.687 -42.2182
126.342773 74.590 -109.2992
126.525879 74.470 -176.5939
126.708984 74.316 116.1629
126.892090 74.146 49.2178
127.075195 73.987 -17.3801
127.258301 73.851 -83.7925
127.441406 73.714 -150.2071
127.624512 73.539 143.3675
127.807617 73.308 77.1176
127.990723 73.049 11.2339
128.173828 72.815 -54.3153
128.356934 72.639 -119.8148
128.540039 72.509 174.4519
128.723145 72.380 108.4933
128.906250 72.228 42.6187
129.089355 72.077 -22.8447
129.272461 71.975 -87.8798
129.455566 71.945 -152.8412
129.638672 71.950 141.8605
129.821777 71.917 76.1271
130.004883 71.798 10.2183
130.187988 71.603 -55.5090
130.371094 71.387 -120.9082
130.554199 71.205 173.8453
130.737305 71.063 108.4584
130.920410 70.931 42.8507
131.103516 70.781 -22.7401
131.286621 70.628 -87.9684
131.469727 70.515 -152.6914
131.652832 70.479 142.9081
131.835938 70.511 78.5222
132.019043 70.571 14.0171
132.202148 70.635 -50.5232
132.385254 70.715 -115.0286
132.568359 70.837 -179.6568
132.751465 70.995 115.2803
132.934570 71.144 49.6178
133.117676 71.234 -16.4754
133.300781 71.258 -82.6185
133.483887 71.253 -148.5222
133.666992 71.271 145.7737
133.850098 71.326 79.9643
134.033203 71.376 13.8282
134.216309 71.362 -52.5000
134.399414 71.266 -118.6034
134.582520 71.131 175.8771
134.765625 71.031 110.9105
134.948730 71.004 46.0759
135.131836 71.019 -19.0174
135.314941 71.018 -84.3402
135.498047 70.989 -149.5295
135.681152 70.983 145.6648
135.864258 71.065 81.0219
136.047363 71.235 16.0117
136.230469 71.412 -49.6418
136.413574 71.517 -115.6573
136.596680 71.535 178.5594
136.779785 71.530 113.4090
136.962891 71.594 48.7255
137.145996 71.751 -16.0877
137.329102 71.947 -81.4734
137.512207 72.108 -147.3512
137.695312 72.216 146.6902
137.878418 72.312 80.9542
138.061523 72.454 15.3767
138.244629 72.656 -50.3426
138.427734 72.886 -116.3851
138.610840 73.104 177.3465
138.793945 73.303 111.0573
138.977051 73.498 44.8109
139.160156 73.697 -21.5213
139.343262 73.880 -88.0772
139.526367 74.021 -154.8226
139.709473 74.116 138.4145
139.892578 74.192 71.7421
140.075684 74.283 5.0570
140.258789 74.391 -61.8640
140.441895 74.482 -129.1099
140.625000 74.520 163.5032
140.808105 74.504 96.3104
140.991211 74.467 29.5298
141.174316 74.453 -36.9195
141.357422 74.474 -103.3283
141.540527 74.500 -169.9055
141.723633 74.498 123.3998
141.906738 74.466 56.7912
142.089844 74.437 -9.6269
142.272949 74.443 -75.9766
142.456055 74.486 -142.4747
142.639160 74.534 150.8103
142.822266 74.566 84.0218
143.005371 74.588 17.3375
143.188477 74.623 -49.2482
143.371582 74.680 -115.9432
143.554688 74.731 177.0535
143.737793 74.738 109.7614
143.920898 74.684 42.4009
144.104004 74.592 -24.8157
144.287109 74.502 -91.8841
144.470215 74.437 -159.0054
144.653320 74.377 133.6332
144.836426 74.284 66.0600
145.019531 74.135 -1.5042
145.202637 73.942 -68.8514
145.385742 73.731 -135.9718
145.568848 73.511 156.9569
145.751953 73.263 89.7699
145.935059 72.953 22.4996
146.118164 72.567 -44.6380
146.301270 72.124 -111.4129
146.484375 71.652 -177.7280
146.667480 71.168 116.4066
146.850586 70.669 51.0374
147.033691 70.157 -13.6478
147.216797 69.667 -77.4773
147.399902 69.251 -140.5560
147.583008 68.928 156.7405
147.766113 68.663 94.1565
147.949219 68.426 31.8568
148.132324 68.258 -29.8307
148.315430 68.262 -91.0297
148.498535 68.494 -152.5152
148.681641 68.886 144.9504
148.864746 69.317 81.3006
149.047852 69.721 17.0108
149.230957 70.110 -47.4921
149.414062 70.524 -112.1905
149.597168 70.965 -177.3525
149.780273 71.392 116.8556
149.963379 71.762 50.5632
150.146484 72.068 -15.9562
150.329590 72.340 -82.5522
150.512695 72.606 -149.3109
150.695801 72.860 143.5876
150.878906 73.067 76.1113
151.062012 73.190 8.4690
151.245117 73.226 -59.0131
151.428223 73.206 -126.1070
151.611328 73.172 167.1742
151.794434 73.148 100.6214
151.977539 73.126 34.0293
152.160645 73.088 -32.6411
152.343750 73.026 -99.2857
152.526855 72.955 -165.8018
152.709961 72.892 127.8100
152.893066 72.838 61.4904
153.076172 72.777 -4.7495
153.259277 72.700 -70.7772
153.442383 72.621 -136.4509
153.625488 72.577 158.1902
153.808594 72.589 92.8588
153.991699 72.640 27.1996
154.174805 72.677 -38.9217
154.357910 72.653 -105.2968
154.541016 72.562 -171.5040
154.724121 72.448 122.8213
154.907227 72.384 57.7299
155.090332 72.419 -7.1009
155.273438 72.542 -72.1270
155.456543 72.696 -137.5970
155.639648 72.821 156.5634
155.822754 72.890 90.6109
156.005859 72.916 24.7731
156.188965 72.932 -40.8835
156.372070 72.968 -106.4530
156.555176 73.036 -172.0856
156.738281 73.128 122.1249
156.921387 73.234 56.1846
157.104492 73.342 -9.8288
157.287598 73.450 -75.8156
157.470703 73.562 -141.6963
157.653809 73.687 152.5541
157.836914 73.839 86.8751
158.020020 74.027 21.1187
158.203125 74.244 -44.8970
158.386230 74.470 -111.2995
158.569336 74.681 -178.0987
158.752441 74.859 114.8081
158.935547 74.997 47.5727
159.118652 75.104 -19.6789
159.301758 75.189 -86.8933
159.484863 75.262 -154.0908
159.667969 75.320 138.6724
159.851074 75.355 71.3544
160.034180 75.353 3.9663
160.217285 75.306 -63.4147
160.400391 75.216 -130.6659
160.583496 75.099 162.3290
160.766602 74.980 95.6100
160.949707 74.882 29.0995
161.132812 74.809 -37.3608
161.315918 74.746 -103.8980
161.499023 74.666 -170.5136
161.682129 74.556 122.9089
161.865234 74.425 56.4997
162.048340 74.297 -9.7124
162.231445 74.191 -75.8243
162.414551 74.111 -141.9596
162.597656 74.043 151.8537
162.780762 73.980 85.6985
162.963867 73.927 19.6667
163.146973 73.892 -46.2411
