* Generated by rew_pipeline.py (source UUID 7d856d07-f568-4c89-a086-d78dd62d4f33, calibrated to its own SPL at 100 Hz)
* Measurement: R.filtered.clean-fdw6
* Dated: 2026-Sep-12 16:19:01
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw6 B = FRX-trimmed.clean-fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
147.949219 72.011 23.2210
148.132324 72.030 -42.1551
148.315430 72.054 -107.5569
148.498535 72.083 -172.9424
148.681641 72.139 121.6717
148.864746 72.241 56.0923
149.047852 72.372 -9.9181
149.230957 72.485 -76.3573
149.414062 72.548 -142.8969
149.597168 72.583 150.8646
149.780273 72.646 85.0168
149.963379 72.771 19.2115
150.146484 72.916 -46.9773
150.329590 72.995 -113.5727
150.512695 72.962 179.8573
150.695801 72.857 113.8006
150.878906 72.778 48.2958
151.062012 72.796 -17.1995
151.245117 72.879 -83.2931
151.428223 72.943 -150.0378
151.611328 72.934 143.0770
151.794434 72.883 76.6238
151.977539 72.860 10.7431
152.160645 72.903 -54.9055
152.343750 72.973 -120.6799
152.526855 73.011 173.4602
152.709961 73.010 107.8251
152.893066 73.025 42.5246
153.076172 73.108 -22.7844
153.259277 73.242 -88.5778
153.442383 73.357 -154.9227
153.625488 73.407 138.6198
153.808594 73.421 72.5803
153.991699 73.479 7.0759
154.174805 73.626 -58.3167
154.357910 73.827 -124.1221
154.541016 74.001 169.5358
154.724121 74.100 102.9421
154.907227 74.139 36.4371
155.090332 74.169 -29.8764
155.273438 74.233 -96.1273
155.456543 74.335 -162.4403
155.639648 74.470 131.2174
155.822754 74.640 64.9285
156.005859 74.846 -1.3477
156.188965 75.066 -67.7488
156.372070 75.254 -134.3179
156.555176 75.378 159.0837
156.738281 75.449 92.6266
156.921387 75.512 26.2633
157.104492 75.604 -40.3274
157.287598 75.714 -107.4643
157.470703 75.809 -175.1445
157.653809 75.875 116.9682
157.836914 75.941 49.2503
158.020020 76.055 -18.2018
158.203125 76.227 -85.6109
158.386230 76.415 -153.2218
158.569336 76.550 138.9831
158.752441 76.599 71.2476
158.935547 76.581 3.7650
159.118652 76.541 -63.5496
159.301758 76.505 -131.0029
159.484863 76.457 161.1827
159.667969 76.368 93.0975
159.851074 76.241 25.0578
160.034180 76.112 -42.6942
160.217285 76.018 -110.2087
160.400391 75.953 -177.7274
160.583496 75.867 114.6321
160.766602 75.716 47.0404
160.949707 75.503 -20.1987
161.132812 75.282 -86.9688
161.315918 75.114 -153.5255
161.499023 75.010 139.6928
161.682129 74.928 72.4639
161.865234 74.824 4.9461
162.048340 74.685 -62.5191
162.231445 74.533 -129.7063
162.414551 74.388 163.3646
162.597656 74.244 96.5497
162.780762 74.082 29.7773
162.963867 73.890 -36.9194
163.146973 73.683 -103.5325
163.330078 73.481 -170.1760
163.513184 73.286 122.9971
163.696289 73.080 55.9648
163.879395 72.853 -11.1220
