* Generated by rew_pipeline.py (source UUID 633417b2-a8a9-4810-837e-e85a53922a2f, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw6
* Dated: 2026-Sep-12 16:19:02
* Note: ; Vector average of L.filtered.clean-fdw6, R.filtered.clean-fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
111.145020 76.367 -10.7980
111.328125 76.506 -78.1268
111.511230 76.579 -145.4245
111.694336 76.601 147.4825
111.877441 76.613 80.6890
112.060547 76.643 14.0251
112.243652 76.694 -52.6606
112.426758 76.752 -119.5009
112.609863 76.792 173.5995
112.792969 76.817 106.7467
112.976074 76.834 40.0536
113.159180 76.868 -26.5098
113.342285 76.920 -93.0259
113.525391 76.997 -159.5867
113.708496 77.087 133.7423
113.891602 77.188 66.9519
114.074707 77.289 0.0072
114.257812 77.388 -67.0607
114.440918 77.474 -134.2635
114.624023 77.542 158.4638
114.807129 77.591 91.0990
114.990234 77.615 23.6695
115.173340 77.611 -43.8685
115.356445 77.570 -111.4702
115.539551 77.494 -179.1155
115.722656 77.383 113.2550
115.905762 77.249 45.6435
116.088867 77.087 -21.9521
116.271973 76.894 -89.4896
116.455078 76.660 -156.8680
116.638184 76.393 136.1024
116.821289 76.113 69.5072
117.004395 75.853 3.3470
117.187500 75.628 -62.5996
117.370605 75.431 -128.4790
117.553711 75.242 165.6102
117.736816 75.050 99.8005
117.919922 74.870 34.1498
118.103027 74.721 -31.3270
118.286133 74.616 -96.7997
118.469238 74.534 -162.3521
118.652344 74.456 132.0408
118.835449 74.368 66.5352
119.018555 74.296 1.2224
119.201660 74.256 -64.0082
119.384766 74.258 -129.3740
119.567871 74.271 164.9132
119.750977 74.265 98.9082
119.934082 74.221 32.7591
120.117188 74.154 -33.2791
120.300293 74.091 -99.1788
120.483398 74.057 -164.9756
120.666504 74.050 129.1273
120.849609 74.048 63.0965
121.032715 74.030 -3.0633
121.215820 73.981 -69.1926
121.398926 73.918 -135.2209
121.582031 73.849 158.8757
121.765137 73.795 93.0086
121.948242 73.746 27.0903
122.131348 73.698 -38.8790
122.314453 73.634 -104.8370
122.497559 73.564 -170.6339
122.680664 73.496 123.7567
122.863770 73.450 58.3384
123.046875 73.427 -7.0588
123.229980 73.421 -72.4980
123.413086 73.422 -138.0921
123.596191 73.421 156.1984
123.779297 73.421 90.3116
123.962402 73.416 24.2820
124.145508 73.403 -41.8926
124.328613 73.368 -108.0591
124.511719 73.327 -174.0718
124.694824 73.290 120.1826
124.877930 73.289 54.6511
125.061035 73.319 -10.8487
125.244141 73.369 -76.4465
125.427246 73.408 -142.1866
125.610352 73.438 152.0425
125.793457 73.471 86.2214
125.976562 73.526 20.2830
126.159668 73.599 -45.9967
126.342773 73.661 -112.6161
126.525879 73.685 -179.4625
126.708984 73.664 113.7989
126.892090 73.627 47.3339
127.075195 73.602 -18.8431
127.258301 73.608 -84.9767
127.441406 73.616 -151.2520
127.624512 73.599 142.3103
127.807617 73.535 75.8696
127.990723 73.455 9.5953
128.173828 73.386 -56.5468
128.356934 73.360 -122.7098
128.540039 73.359 170.8842
128.723145 73.357 104.2741
128.906250 73.329 37.5841
129.089355 73.279 -28.9329
129.272461 73.226 -95.2663
129.455566 73.182 -161.4820
129.638672 73.139 132.1964
129.821777 73.067 65.7313
130.004883 72.952 -0.8362
130.187988 72.788 -67.3429
130.371094 72.607 -133.7285
130.554199 72.422 159.9594
130.737305 72.243 93.6362
130.920410 72.046 27.2858
131.103516 71.823 -38.8907
131.286621 71.578 -104.6945
131.469727 71.351 -169.9505
131.652832 71.175 125.1587
131.835938 71.058 60.4057
132.019043 70.974 -4.4881
132.202148 70.886 -69.4346
132.385254 70.795 -134.3379
132.568359 70.721 160.9276
132.751465 70.696 96.1557
132.934570 70.704 31.1599
133.117676 70.718 -34.1546
133.300781 70.700 -99.5714
133.483887 70.672 -164.8534
133.666992 70.663 130.0386
133.850098 70.705 64.8763
134.033203 70.763 -0.6465
134.216309 70.793 -66.5138
134.399414 70.754 -132.4932
134.582520 70.668 161.8053
134.765625 70.579 96.4279
134.948730 70.529 31.2542
135.131836 70.507 -34.0264
135.314941 70.482 -99.3564
135.498047 70.444 -164.5824
135.681152 70.419 130.5298
135.864258 70.452 65.8079
136.047363 70.537 0.9752
136.230469 70.638 -64.1877
