* Measurement data measured by REW V5.40 beta 133
* Source: /home/giacomo/DRC/DRC-120.green/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 12, 2026, 10:33:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.green/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
158.569323 -0.010 77.7786
158.935534 -0.010 77.9725
159.301745 -0.010 78.1665
159.667956 -0.010 78.3606
160.034167 -0.010 78.5547
160.400378 -0.010 78.7489
160.766589 -0.010 78.9431
161.132799 -0.010 79.1375
161.499010 -0.010 79.3319
161.865221 -0.010 79.5263
162.231432 -0.010 79.7209
162.597643 -0.010 79.9155
162.963854 -0.010 80.1102
163.330065 -0.010 80.3050
163.696276 -0.010 80.4999
164.062487 -0.010 80.6948
164.428698 -0.010 80.8898
164.794908 -0.010 81.0849
165.161119 -0.010 81.2800
165.527330 -0.010 81.4752
165.893541 -0.010 81.6705
166.259752 -0.010 81.8659
166.625963 -0.010 82.0613
166.992174 -0.010 82.2568
167.358385 -0.010 82.4524
167.724596 -0.010 82.6481
168.090807 -0.010 82.8438
168.457018 -0.010 83.0396
168.823228 -0.010 83.2354
169.189439 -0.010 83.4314
169.555650 -0.010 83.6274
169.921861 -0.010 83.8235
170.288072 -0.010 84.0196
170.654283 -0.010 84.2158
171.020494 -0.010 84.4121
171.386705 -0.010 84.6085
171.752916 -0.010 84.8049
172.119127 -0.010 85.0014
172.485338 -0.010 85.1980
172.851548 -0.010 85.3946
173.217759 -0.010 85.5913
173.583970 -0.010 85.7881
173.950181 -0.010 85.9850
174.316392 -0.010 86.1819
174.682603 -0.010 86.3789
175.048814 -0.010 86.5759
175.415025 -0.010 86.7730
175.781236 -0.010 86.9702
176.147447 -0.010 87.1675
176.513658 -0.010 87.3648
176.879868 -0.010 87.5622
177.246079 -0.010 87.7597
177.612290 -0.010 87.9572
177.978501 -0.010 88.1548
178.344712 -0.010 88.3524
178.710923 -0.010 88.5502
179.077134 -0.010 88.7480
179.443345 -0.010 88.9458
179.809556 -0.010 89.1437
180.175767 -0.010 89.3417
180.541978 -0.010 89.5398
180.908188 -0.010 89.7379
181.274399 -0.010 89.9361
181.640610 -0.010 90.1343
182.006821 -0.010 90.3326
182.373032 -0.010 90.5310
182.739243 -0.010 90.7294
183.105454 -0.010 90.9279
183.471665 -0.010 91.1265
183.837876 -0.010 91.3251
184.204087 -0.010 91.5238
184.570298 -0.010 91.7226
184.936508 -0.010 91.9214
185.302719 -0.010 92.1202
185.668930 -0.010 92.3192
186.035141 -0.010 92.5182
186.401352 -0.010 92.7172
186.767563 -0.010 92.9164
187.133774 -0.010 93.1155
187.499985 -0.010 93.3148
187.866196 -0.010 93.5141
188.232407 -0.010 93.7134
188.598617 -0.010 93.9129
188.964828 -0.010 94.1124
189.331039 -0.010 94.3119
189.697250 -0.010 94.5115
190.063461 -0.010 94.7111
190.429672 -0.010 94.9109
190.795883 -0.010 95.1106
191.162094 -0.010 95.3105
191.528305 -0.010 95.5103
191.894516 -0.010 95.7103
192.260727 -0.010 95.9103
192.626937 -0.010 96.1103
192.993148 -0.010 96.3105
193.359359 -0.010 96.5106
193.725570 -0.010 96.7108
194.091781 -0.010 96.9111
194.457992 -0.010 97.1115
194.824203 -0.010 97.3118
195.190414 -0.010 97.5123
195.556625 -0.010 97.7128
195.922836 -0.010 97.9133
196.289047 -0.010 98.1139
196.655257 -0.010 98.3146
197.021468 -0.010 98.5153
197.387679 -0.010 98.7160
197.753890 -0.010 98.9169
198.120101 -0.010 99.1177
198.486312 -0.010 99.3186
198.852523 -0.010 99.5196
199.218734 -0.010 99.7206
199.584945 -0.010 99.9217
199.951156 -0.010 100.1228
200.317367 -0.010 100.3240
200.683577 -0.010 100.5252
201.049788 -0.010 100.7265
201.415999 -0.010 100.9278
201.782210 -0.010 101.1291
202.148421 -0.010 101.3305
202.514632 -0.010 101.5320
202.880843 -0.010 101.7335
203.247054 -0.010 101.9351
203.613265 -0.010 102.1367
203.979476 -0.010 102.3383
204.345687 -0.010 102.5400
204.711897 -0.010 102.7417
205.078108 -0.010 102.9435
205.444319 -0.010 103.1453
205.810530 -0.010 103.3472
206.176741 -0.010 103.5491
206.542952 -0.010 103.7511
206.909163 -0.010 103.9531
207.275374 -0.010 104.1551
207.641585 -0.010 104.3572
208.007796 -0.010 104.5593
208.374007 -0.010 104.7615
208.740217 -0.010 104.9637
209.106428 -0.010 105.1659
209.472639 -0.010 105.3682
209.838850 -0.010 105.5706
210.205061 -0.010 105.7729
210.571272 -0.010 105.9754
210.937483 -0.010 106.1778
211.303694 -0.010 106.3803
211.669905 -0.010 106.5828
212.036116 -0.010 106.7854
212.402326 -0.010 106.9880
212.768537 -0.010 107.1906
213.134748 -0.010 107.3933
213.500959 -0.010 107.5960
213.867170 -0.010 107.7988
214.233381 -0.010 108.0015
214.599592 -0.010 108.2044
214.965803 -0.010 108.4072
215.332014 -0.010 108.6101
215.698225 -0.010 108.8130
216.064436 -0.010 109.0160
216.430646 -0.010 109.2189
216.796857 -0.010 109.4220
217.163068 -0.010 109.6250
217.529279 -0.010 109.8281
217.895490 -0.010 110.0312
218.261701 -0.010 110.2343
218.627912 -0.010 110.4375
218.994123 -0.010 110.6407
219.360334 -0.010 110.8439
219.726545 -0.010 111.0472
220.092756 -0.010 111.2505
220.458966 -0.010 111.4538
220.825177 -0.010 111.6572
221.191388 -0.010 111.8605
221.557599 -0.010 112.0639
221.923810 -0.010 112.2673
222.290021 -0.010 112.4708
222.656232 -0.010 112.6743
