* Generated by rew_pipeline.py (source UUID 3345a9fc-2b9f-4cd3-b89a-36b93d3c0b7d, calibrated to its own SPL at 100 Hz)
* Measurement: R.nofdw.clean-fdw6
* Dated: 2026-Sep-12 16:19:00
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
182.006836 70.774 103.0175
182.373047 71.149 -33.5857
182.739258 70.849 -165.5293
183.105469 70.703 58.4116
183.471680 70.338 -77.6733
183.837891 71.018 147.0018
184.204102 71.455 10.9469
184.570312 71.528 -120.5471
184.936523 71.653 103.1947
185.302734 71.820 -31.5005
185.668945 72.440 -168.4182
186.035156 72.626 55.9838
186.401367 72.692 -78.1807
186.767578 72.935 146.1136
187.133789 73.035 11.1034
187.500000 73.337 -122.1900
187.866211 73.839 106.8533
188.232422 74.096 -26.5004
188.598633 74.873 -163.3780
188.964844 75.560 60.9545
189.331055 76.277 -74.4777
189.697266 76.903 148.6450
190.063477 77.297 11.9005
190.429688 77.662 -125.7121
190.795898 78.079 95.1254
191.162109 78.373 -42.1606
191.528320 78.691 -179.6292
191.894531 78.628 43.6053
192.260742 78.276 -95.0688
192.626953 78.387 126.3532
192.993164 78.218 -10.8805
193.359375 78.002 -147.2597
193.725586 77.585 77.0443
194.091797 77.055 -59.9428
194.458008 76.992 165.6259
194.824219 76.613 29.6909
195.190430 75.962 -105.9411
195.556641 75.337 120.7948
195.922852 74.723 -13.6140
196.289062 73.954 -143.5537
196.655273 73.366 88.2772
197.021484 73.124 -41.4173
197.387695 72.808 -171.0385
197.753906 73.117 60.7996
198.120117 73.540 -68.9214
198.486328 73.923 161.4132
198.852539 74.488 30.6220
199.218750 74.829 -101.7067
199.584961 75.568 124.7971
199.951172 76.156 -10.4674
200.317383 76.565 -143.3456
200.683594 76.841 81.9589
201.049805 77.252 -53.7009
201.416016 77.363 170.8251
201.782227 77.567 35.6910
202.148438 77.442 -100.0587
202.514648 77.523 123.3165
202.880859 77.367 -11.4627
203.247070 77.139 -146.2417
203.613281 76.965 79.4702
203.979492 76.750 -55.4244
204.345703 76.631 171.2043
204.711914 76.351 38.0408
205.078125 76.038 -94.9081
205.444336 75.821 132.9146
205.810547 75.604 1.3299
206.176758 75.452 -131.5909
206.542969 75.199 95.8673
206.909180 75.260 -35.9939
207.275391 75.161 -166.4009
207.641602 74.976 60.7393
208.007812 75.392 -71.5139
208.374023 75.420 156.6153
208.740234 75.563 24.8086
209.106445 75.512 -109.4284
209.472656 75.709 117.4130
209.838867 75.843 -16.1894
210.205078 75.902 -148.5402
210.571289 75.812 78.6887
210.937500 75.808 -55.1416
211.303711 75.924 170.8164
