* Generated by rew_pipeline.py (source UUID defe8eaa-5d6a-4a29-861d-0afe6da83fd1, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw6-peq
* Dated: 2026-Sep-13 14:43:18
* Note: ; Vector average of L.filtered.clean-fdw6-peq, R.filtered.clean-fdw6-peq
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
118.103027 74.171 -29.4488
118.286133 74.069 -94.9275
118.469238 73.989 -160.4847
118.652344 73.913 133.9020
118.835449 73.827 68.3916
119.018555 73.756 3.0738
119.201660 73.718 -62.1611
119.384766 73.722 -127.5310
119.567871 73.736 166.7518
119.750977 73.733 100.7436
119.934082 73.690 34.5905
120.117188 73.624 -31.4494
120.300293 73.563 -97.3521
120.483398 73.530 -163.1500
120.666504 73.526 130.9496
120.849609 73.525 64.9172
121.032715 73.509 -1.2463
121.215820 73.462 -67.3774
121.398926 73.401 -133.4095
121.582031 73.334 160.6843
121.765137 73.282 94.8126
121.948242 73.235 28.8897
122.131348 73.189 -37.0853
122.314453 73.127 -103.0501
122.497559 73.059 -168.8542
122.680664 72.993 125.5273
122.863770 72.949 60.1004
123.046875 72.927 -5.3070
123.229980 72.923 -70.7547
123.413086 72.925 -136.3587
123.596191 72.925 157.9244
123.779297 72.926 92.0288
123.962402 72.922 25.9933
124.145508 72.909 -40.1883
124.328613 72.875 -106.3596
124.511719 72.834 -172.3783
124.694824 72.798 121.8717
124.877930 72.798 56.3355
125.061035 72.828 -9.1679
125.244141 72.879 -74.7683
125.427246 72.919 -140.5105
125.610352 72.950 153.7179
125.793457 72.983 87.8955
125.976562 73.040 21.9574
126.159668 73.114 -44.3238
126.342773 73.177 -110.9434
126.525879 73.202 -177.7922
126.708984 73.182 115.4683
126.892090 73.146 49.0007
127.075195 73.122 -17.1771
127.258301 73.130 -83.3130
127.441406 73.138 -149.5889
127.624512 73.122 143.9721
127.807617 73.060 77.5309
127.990723 72.981 11.2560
128.173828 72.914 -54.8871
128.356934 72.888 -121.0511
128.540039 72.889 172.5407
128.723145 72.888 105.9294
128.906250 72.861 39.2367
129.089355 72.813 -27.2814
129.272461 72.762 -93.6183
129.455566 72.719 -159.8363
129.638672 72.678 133.8377
129.821777 72.607 67.3701
130.004883 72.493 0.7990
130.187988 72.331 -65.7094
130.371094 72.151 -132.0981
130.554199 71.966 161.5872
130.737305 71.789 95.2601
130.920410 71.593 28.9056
131.103516 71.372 -37.2749
131.286621 71.129 -103.0835
131.469727 70.903 -168.3434
131.652832 70.727 126.7602
131.835938 70.612 62.0033
132.019043 70.529 -2.8966
132.202148 70.443 -67.8472
132.385254 70.352 -132.7575
132.568359 70.280 162.5024
132.751465 70.256 97.7223
132.934570 70.264 32.7208
133.117676 70.279 -32.6001
133.300781 70.261 -98.0207
133.483887 70.235 -163.3071
133.666992 70.226 131.5815
133.850098 70.269 66.4155
134.033203 70.327 0.8897
134.216309 70.358 -64.9795
134.399414 70.319 -130.9613
134.582520 70.234 163.3357
134.765625 70.147 97.9546
134.948730 70.097 32.7783
135.131836 70.077 -32.5072
135.314941 70.052 -97.8397
135.498047 70.016 -163.0697
135.681152 69.991 132.0406
135.864258 70.026 67.3141
136.047363 70.111 2.4779
136.230469 70.212 -62.6906
136.413574 70.272 -128.0143
136.596680 70.297 166.8090
136.779785 70.319 101.9383
136.962891 70.390 37.2197
137.145996 70.503 -27.6819
137.329102 70.634 -92.8741
137.512207 70.751 -158.2809
137.695312 70.869 136.3325
137.878418 71.009 70.9339
138.061523 71.186 5.4500
138.244629 71.382 -60.2836
138.427734 71.572 -126.1386
138.610840 71.754 167.9753
138.793945 71.940 102.1593
138.977051 72.142 36.2534
139.160156 72.339 -29.8408
139.343262 72.509 -96.1427
139.526367 72.636 -162.4868
139.709473 72.746 131.2363
139.892578 72.859 64.9575
140.075684 72.989 -1.5093
140.258789 73.107 -68.3141
140.441895 73.190 -135.3353
140.625000 73.229 157.6225
140.808105 73.253 90.7780
140.991211 73.292 24.0584
141.174316 73.358 -42.6546
141.357422 73.434 -109.5204
141.540527 73.495 -176.4403
141.723633 73.542 116.6855
141.906738 73.587 49.9427
142.089844 73.647 -16.7855
142.272949 73.705 -83.6100
142.456055 73.742 -150.5350
142.639160 73.739 142.5799
142.822266 73.716 75.8904
143.005371 73.698 9.3489
143.188477 73.703 -57.2112
143.371582 73.711 -124.0171
143.554688 73.691 168.9659
143.737793 73.626 101.8697
143.920898 73.526 34.9381
144.104004 73.420 -31.8107
144.287109 73.325 -98.4263
144.470215 73.240 -165.0646
144.653320 73.143 128.2867
