* Generated by rew_pipeline.py (source UUID 186deba0-cbab-4d36-ad78-2cb4c056a7bc, calibrated to its own SPL at 100 Hz)
* Measurement: L.filtered.clean-fdw6-peq
* Dated: 2026-Sep-13 14:43:17
* Note: ; Trace Arithmetic A times B A = L.nofdw.clean-fdw6-peq B = FLX-trimmed.clean-fdw6-peq
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
116.271973 73.717 -88.8253
116.455078 73.255 -155.4270
116.638184 72.754 138.6092
116.821289 72.248 73.4843
117.004395 71.790 9.2273
117.187500 71.431 -54.3933
117.370605 71.188 -117.7524
117.553711 71.043 178.8817
117.736816 70.983 115.4462
117.919922 71.012 51.9138
118.103027 71.145 -11.9113
118.286133 71.356 -76.3352
118.469238 71.583 -141.4902
118.652344 71.761 152.8303
118.835449 71.866 87.0420
119.018555 71.928 21.4648
119.201660 72.000 -43.9255
119.384766 72.106 -109.4726
119.567871 72.213 -175.5183
119.750977 72.261 117.9168
119.934082 72.208 51.1626
120.117188 72.060 -15.3200
120.300293 71.871 -81.2174
120.483398 71.702 -146.5334
120.666504 71.585 148.4816
120.849609 71.509 83.5954
121.032715 71.447 18.7909
121.215820 71.395 -45.7910
121.398926 71.380 -110.0698
121.582031 71.442 -174.1776
121.765137 71.593 121.6029
121.948242 71.818 57.0438
122.131348 72.089 -7.9018
122.314453 72.387 -73.1524
122.497559 72.708 -138.6313
122.680664 73.051 155.6552
122.863770 73.405 89.6394
123.046875 73.751 23.2581
123.229980 74.067 -43.5091
123.413086 74.341 -110.6507
123.596191 74.564 -178.1466
123.779297 74.733 114.0347
123.962402 74.844 45.9662
124.145508 74.898 -22.2123
124.328613 74.903 -90.3102
124.511719 74.878 -158.1525
124.694824 74.846 134.3391
124.877930 74.821 67.1111
125.061035 74.798 0.0368
125.244141 74.757 -66.9719
125.427246 74.677 -133.8996
125.610352 74.560 159.3255
125.793457 74.427 92.7121
125.976562 74.307 26.1255
126.159668 74.208 -40.6497
126.342773 74.113 -107.7352
126.525879 73.994 -175.0342
126.708984 73.841 117.7181
126.892090 73.672 50.7686
127.075195 73.514 -15.8338
127.258301 73.379 -82.2505
127.441406 73.244 -148.6695
127.624512 73.069 144.9007
127.807617 72.840 78.6464
127.990723 72.582 12.7585
128.173828 72.349 -52.7951
128.356934 72.175 -118.2990
128.540039 72.045 175.9633
128.723145 71.917 110.0003
128.906250 71.767 44.1213
129.089355 71.616 -21.3464
129.272461 71.515 -86.3858
129.455566 71.487 -151.3515
129.638672 71.493 143.3459
129.821777 71.460 77.6082
130.004883 71.342 11.6950
130.187988 71.149 -54.0365
130.371094 70.934 -119.4401
130.554199 70.753 175.3092
130.737305 70.612 109.9180
130.920410 70.481 44.3061
131.103516 70.332 -21.2890
131.286621 70.180 -86.5215
131.469727 70.068 -151.2487
131.652832 70.033 144.3464
131.835938 70.066 79.9564
132.019043 70.126 15.4472
132.202148 70.191 -49.0974
132.385254 70.273 -113.6069
132.568359 70.396 -178.2393
132.751465 70.555 116.6935
132.934570 70.704 51.0270
133.117676 70.795 -15.0704
133.300781 70.820 -81.2177
133.483887 70.816 -147.1254
133.666992 70.835 147.1663
133.850098 70.891 81.3528
134.033203 70.941 15.2126
134.216309 70.928 -51.1197
134.399414 70.833 -117.2271
134.582520 70.700 177.2494
134.765625 70.600 112.2787
134.948730 70.574 47.4401
135.131836 70.589 -17.6573
135.314941 70.589 -82.9842
135.498047 70.561 -148.1773
135.681152 70.556 147.0130
135.864258 70.639 82.3661
136.047363 70.809 17.3520
136.230469 70.988 -48.3055
136.413574 71.093 -114.3250
136.596680 71.111 179.8879
136.779785 71.108 114.7335
136.962891 71.172 50.0462
137.145996 71.330 -14.7709
137.329102 71.527 -80.1605
137.512207 71.689 -146.0421
137.695312 71.797 147.9954
137.878418 71.894 82.2555
138.061523 72.036 16.6743
138.244629 72.240 -49.0488
138.427734 72.470 -115.0952
138.610840 72.689 178.6326
138.793945 72.889 112.3397
138.977051 73.084 46.0896
139.160156 73.284 -20.2464
139.343262 73.468 -86.8059
139.526367 73.609 -153.5551
139.709473 73.704 139.6783
139.892578 73.782 73.0022
140.075684 73.873 6.3135
140.258789 73.982 -60.6111
140.441895 74.073 -127.8608
140.625000 74.113 164.7487
140.808105 74.096 97.5523
140.991211 74.060 30.7681
141.174316 74.047 -35.6847
141.357422 74.069 -102.0970
141.540527 74.095 -168.6779
141.723633 74.093 124.6239
141.906738 74.062 58.0118
142.089844 74.034 -8.4097
142.272949 74.041 -74.7630
142.456055 74.084 -141.2645
142.639160 74.133 152.0170
142.822266 74.166 85.2251
143.005371 74.188 18.5373
143.188477 74.224 -48.0518
143.371582 74.281 -114.7502
143.554688 74.333 178.2431
143.737793 74.340 110.9477
143.920898 74.286 43.5837
144.104004 74.195 -23.6361
144.287109 74.106 -90.7079
144.470215 74.042 -157.8325
144.653320 73.982 134.8029
144.836426 73.889 67.2264
145.019531 73.741 -0.3410
145.202637 73.549 -67.6914
145.385742 73.338 -134.8150
145.568848 73.119 158.1104
145.751953 72.871 90.9203
145.935059 72.561 23.6468
146.118164 72.177 -43.4939
146.301270 71.734 -110.2720
146.484375 71.262 -176.5902
146.667480 70.779 117.5413
146.850586 70.280 52.1690
147.033691 69.769 -12.5192
147.216797 69.279 -76.3518
147.399902 68.864 -139.4334
147.583008 68.541 157.8600
147.766113 68.276 95.2730
147.949219 68.040 32.9704
148.132324 67.872 -28.7201
148.315430 67.877 -89.9219
148.498535 68.109 -151.4104
148.681641 68.501 146.0524
148.864746 68.933 82.3997
149.047852 69.337 18.1071
149.230957 69.727 -46.3986
149.414062 70.141 -111.0998
149.597168 70.583 -176.2646
149.780273 71.011 117.9407
149.963379 71.380 51.6456
150.146484 71.687 -14.8765
150.329590 71.959 -81.4753
150.512695 72.226 -148.2366
150.695801 72.481 144.6593
150.878906 72.688 77.1804
151.062012 72.811 9.5356
151.245117 72.848 -57.9491
151.428223 72.828 -125.0456
151.611328 72.795 168.2331
151.794434 72.771 101.6777
151.977539 72.749 35.0832
152.160645 72.711 -31.5895
152.343750 72.650 -98.2366
152.526855 72.580 -164.7551
152.709961 72.517 128.8544
152.893066 72.463 62.5325
153.076172 72.402 -3.7098
153.259277 72.325 -69.7396
153.442383 72.247 -135.4156
153.625488 72.203 159.2233
153.808594 72.216 93.8897
153.991699 72.268 28.2284
154.174805 72.305 -37.8950
154.357910 72.281 -104.2720
154.541016 72.190 -170.4813
154.724121 72.077 123.8420
154.907227 72.013 58.7488
155.090332 72.048 -6.0839
155.273438 72.172 -71.1119
155.456543 72.326 -136.5836
155.639648 72.451 157.5751
155.822754 72.521 91.6209
156.005859 72.547 25.7816
156.188965 72.564 -39.8765
156.372070 72.600 -105.4475
156.555176 72.668 -171.0815
156.738281 72.761 123.1278
156.921387 72.867 57.1861
157.104492 72.975 -8.8283
157.287598 73.084 -74.8163
157.470703 73.196 -140.6980
157.653809 73.321 153.5514
157.836914 73.474 87.8715
158.020020 73.662 22.1143
158.203125 73.879 -43.9022
158.386230 74.106 -110.3054
158.569336 74.318 -177.1052
158.752441 74.495 115.8008
158.935547 74.634 48.5648
159.118652 74.741 -18.6873
159.301758 74.827 -85.9024
159.484863 74.901 -153.1005
159.667969 74.959 139.6620
159.851074 74.994 72.3433
160.034180 74.993 4.9544
160.217285 74.947 -62.4274
160.400391 74.857 -129.6794
160.583496 74.741 163.3146
160.766602 74.623 96.5947
160.949707 74.525 30.0830
161.132812 74.453 -36.3784
161.315918 74.390 -102.9168
161.499023 74.311 -169.5336
161.682129 74.201 123.8876
161.865234 74.071 57.4771
162.048340 73.943 -8.7365
162.231445 73.839 -74.8499
162.414551 73.759 -140.9866
162.597656 73.691 152.8251
162.780762 73.629 86.6683
162.963867 73.576 20.6350
163.146973 73.542 -45.2746
