* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:32:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.3 dB
* Note: ; Copy of RMS Average 1
* Measurement: LR.RMS
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB)
310.546875 67.671
310.913086 67.658
311.279297 67.648
311.645508 67.633
312.011719 67.619
312.377930 67.607
312.744141 67.593
313.110352 67.583
313.476562 67.569
313.842773 67.553
314.208984 67.539
314.575195 67.523
314.941406 67.508
315.307617 67.495
315.673828 67.475
316.040039 67.457
316.406250 67.438
316.772461 67.417
317.138672 67.399
317.504883 67.377
317.871094 67.352
318.237305 67.329
318.603516 67.302
318.969727 67.276
319.335938 67.250
319.702148 67.217
320.068359 67.187
320.434570 67.155
320.800781 67.120
321.166992 67.088
321.533203 67.050
321.899414 67.010
322.265625 66.971
322.631836 66.928
322.998047 66.888
323.364258 66.846
323.730469 66.798
324.096680 66.752
324.462891 66.704
324.829102 66.654
325.195312 66.608
325.561523 66.557
325.927734 66.504
326.293945 66.452
326.660156 66.397
327.026367 66.345
327.392578 66.293
327.758789 66.237
328.125000 66.185
328.491211 66.130
328.857422 66.076
329.223633 66.027
329.589844 65.973
329.956055 65.921
330.322266 65.873
330.688477 65.823
331.054688 65.779
331.420898 65.735
331.787109 65.689
332.153320 65.651
332.519531 65.612
332.885742 65.578
333.251953 65.550
333.618164 65.520
333.984375 65.495
334.350586 65.474
334.716797 65.455
335.083008 65.446
335.449219 65.438
335.815430 65.432
336.181641 65.433
336.547852 65.436
336.914062 65.446
337.280273 65.464
337.646484 65.479
338.012695 65.502
338.378906 65.530
338.745117 65.560
339.111328 65.600
339.477539 65.640
339.843750 65.682
340.209961 65.732
340.576172 65.782
340.942383 65.839
341.308594 65.900
341.674805 65.960
342.041016 66.024
342.407227 66.091
342.773438 66.159
343.139648 66.234
343.505859 66.308
343.872070 66.382
344.238281 66.460
344.604492 66.536
344.970703 66.616
345.336914 66.698
345.703125 66.776
346.069336 66.859
346.435547 66.940
346.801758 67.021
347.167969 67.106
347.534180 67.186
347.900391 67.266
348.266602 67.349
348.632812 67.428
348.999023 67.510
349.365234 67.591
349.731445 67.668
350.097656 67.746
350.463867 67.822
350.830078 67.897
351.196289 67.975
351.562500 68.048
351.928711 68.120
352.294922 68.192
352.661133 68.260
353.027344 68.330
353.393555 68.399
353.759766 68.463
354.125977 68.529
354.492188 68.591
354.858398 68.653
355.224609 68.716
355.590820 68.773
355.957031 68.831
356.323242 68.887
356.689453 68.941
357.055664 68.996
357.421875 69.049
357.788086 69.098
358.154297 69.148
358.520508 69.194
358.886719 69.241
359.252930 69.288
359.619141 69.330
359.985352 69.372
360.351562 69.413
360.717773 69.452
361.083984 69.492
361.450195 69.529
361.816406 69.564
362.182617 69.600
362.548828 69.632
362.915039 69.665
363.281250 69.698
363.647461 69.727
364.013672 69.757
364.379883 69.785
364.746094 69.811
365.112305 69.839
365.478516 69.865
365.844727 69.889
366.210938 69.913
366.577148 69.934
366.943359 69.958
367.309570 69.981
367.675781 70.000
368.041992 70.021
368.408203 70.040
368.774414 70.059
369.140625 70.079
369.506836 70.097
369.873047 70.114
370.239258 70.132
370.605469 70.147
370.971680 70.165
371.337891 70.182
371.704102 70.197
372.070312 70.213
372.436523 70.228
372.802734 70.243
373.168945 70.260
373.535156 70.275
373.901367 70.289
374.267578 70.305
374.633789 70.318
375.000000 70.335
375.366211 70.351
375.732422 70.365
376.098633 70.381
376.464844 70.395
376.831055 70.410
377.197266 70.428
377.563477 70.442
377.929688 70.458
378.295898 70.474
378.662109 70.489
379.028320 70.508
379.394531 70.525
379.760742 70.541
380.126953 70.558
380.493164 70.575
380.859375 70.592
381.225586 70.612
381.591797 70.629
381.958008 70.648
382.324219 70.666
382.690430 70.683
383.056641 70.704
383.422852 70.723
383.789062 70.742
384.155273 70.762
384.521484 70.781
384.887695 70.801
385.253906 70.823
385.620117 70.843
385.986328 70.864
386.352539 70.884
386.718750 70.904
387.084961 70.927
387.451172 70.949
387.817383 70.970
388.183594 70.993
388.549805 71.013
388.916016 71.036
389.282227 71.060
389.648438 71.082
390.014648 71.105
390.380859 71.128
390.747070 71.150
391.113281 71.175
391.479492 71.198
391.845703 71.221
392.211914 71.245
392.578125 71.268
392.944336 71.292
393.310547 71.317
393.676758 71.341
394.042969 71.366
394.409180 71.389
394.775391 71.413
395.141602 71.439
395.507812 71.463
395.874023 71.488
396.240234 71.513
396.606445 71.537
396.972656 71.563
397.338867 71.588
397.705078 71.612
398.071289 71.638
398.437500 71.661
398.803711 71.686
399.169922 71.712
399.536133 71.736
399.902344 71.761
400.268555 71.785
400.634766 71.808
401.000977 71.833
401.367188 71.858
401.733398 71.881
402.099609 71.905
402.465820 71.928
402.832031 71.951
403.198242 71.975
403.564453 71.997
403.930664 72.020
404.296875 72.041
404.663086 72.062
405.029297 72.084
405.395508 72.106
405.761719 72.126
406.127930 72.146
406.494141 72.165
406.860352 72.184
407.226562 72.204
407.592773 72.221
407.958984 72.239
408.325195 72.256
408.691406 72.272
409.057617 72.289
409.423828 72.304
409.790039 72.318
410.156250 72.333
410.522461 72.345
410.888672 72.358
411.254883 72.371
411.621094 72.381
411.987305 72.392
412.353516 72.401
412.719727 72.409
413.085938 72.419
413.452148 72.426
413.818359 72.433
414.184570 72.439
414.550781 72.443
414.916992 72.448
415.283203 72.452
415.649414 72.454
416.015625 72.456
416.381836 72.456
416.748047 72.456
417.114258 72.456
417.480469 72.454
417.846680 72.452
418.212891 72.449
418.579102 72.444
418.945312 72.439
419.311523 72.434
419.677734 72.427
420.043945 72.420
420.410156 72.411
420.776367 72.401
421.142578 72.392
421.508789 72.381
421.875000 72.369
422.241211 72.357
422.607422 72.342
422.973633 72.329
423.339844 72.314
423.706055 72.298
424.072266 72.281
424.438477 72.263
424.804688 72.245
425.170898 72.227
425.537109 72.206
425.903320 72.186
426.269531 72.165
426.635742 72.141
427.001953 72.120
427.368164 72.096
427.734375 72.072
428.100586 72.047
428.466797 72.021
428.833008 71.994
429.199219 71.968
429.565430 71.940
429.931641 71.912
430.297852 71.883
430.664062 71.853
431.030273 71.824
431.396484 71.793
431.762695 71.762
432.128906 71.731
432.495117 71.697
432.861328 71.664
433.227539 71.632
433.593750 71.598
433.959961 71.564
434.326172 71.529
434.692383 71.493
435.058594 71.459
435.424805 71.423
435.791016 71.387
436.157227 71.351
436.523438 71.313
436.889648 71.276
437.255859 71.240
437.622070 71.202
437.988281 71.166
438.354492 71.127
438.720703 71.088
439.086914 71.052
439.453125 71.013
439.819336 70.975
440.185547 70.937
440.551758 70.898
440.917969 70.861
441.284180 70.824
441.650391 70.786
442.016602 70.749
442.382812 70.710
442.749023 70.672
443.115234 70.636
443.481445 70.600
443.847656 70.564
444.213867 70.529
444.580078 70.492
444.946289 70.458
445.312500 70.424
445.678711 70.389
446.044922 70.357
446.411133 70.323
446.777344 70.291
447.143555 70.261
447.509766 70.231
447.875977 70.201
448.242188 70.172
448.608398 70.143
448.974609 70.117
449.340820 70.091
449.707031 70.065
